Date;SERVICE_ID (Trip_ID);trip text description;Nb sub-trips;Diagram;SERIE_ID;Unit;Origin;Service_Number;Departure time;Destination;Service_Number_2;Expected_Finish;Counter type 1;Diagram_Counter Expense
10.02.2017;20170210_New_5A00;5A00;0;New;20170210_New;UK390002;WembleyID;5A00;10.02.2017 11:30;Euston;5A00;10.02.2017 11:50;Miles;7.May
10.02.2017;20170210_New_5A49;5A49;0;New;20170210_New;UK390130;LongstCMD;5A49;10.02.2017 14:09;ManchstrP;5A49;10.02.2017 14:30;Miles;Oca.68
10.02.2017;20170210_New_5H26;5H26;0;New;20170210_New;UK390005;ManchstrP;5H26;10.02.2017 15:15;LongstCMD;5H26;10.02.2017 15:30;Miles;Oca.68
10.02.2017;20170210_New_5Z14;5Z14;0;New;20170210_New;UK390121;Euston;5Z14;10.02.2017 11:10;WembleyID;5Z14;10.02.2017 11:30;Miles;7.May
10.02.2017;20170210_VW101_1A31;1A31;0;VW101;20170210_VW101;UK390119;ManchstrP;1A31;10.02.2017 11:55;Euston;1A31;10.02.2017 14:03;Miles;188.93
10.02.2017;20170210_VW101_1A57;1A57;0;VW101;20170210_VW101;UK390119;ManchstrP;1A57;10.02.2017 17:15;Euston;1A57;10.02.2017 19:24;Miles;183.67
10.02.2017;20170210_VW101_1H07;1H07;0;VW101;20170210_VW101;UK390127;Euston;1H07;10.02.2017 20:00;ManchstrP;1H07;10.02.2017 22:04;Miles;183.67
10.02.2017;20170210_VW101_1H15;1H15;0;VW101;20170210_VW101;UK390119;Euston;1H15;10.02.2017 09:20;ManchstrP;1H15;10.02.2017 11:28;Miles;183.67
10.02.2017;20170210_VW101_1H69;1H69;0;VW101;20170210_VW101;UK390119;Euston;1H69;10.02.2017 14:40;ManchstrP;1H69;10.02.2017 16:46;Miles;188.93
10.02.2017;20170210_VW101_1R16;1R16;0;VW101;20170210_VW101;UK390119;Bham Intl;1R16;10.02.2017 07:41;Euston;1R16;10.02.2017 08:50;Miles;104.73
10.02.2017;20170210_VW101_5H07;5H07;0;VW101;20170210_VW101;UK390127;ManchstrP;5H07;10.02.2017 22:36;LongstCMD;5H07;10.02.2017 22:47;Miles;Oca.68
10.02.2017;20170210_VW101_5R16;5R16;0;VW101;20170210_VW101;UK390119;Oxley CMD;5R16;10.02.2017 06:16;Bham Intl;5R16;10.02.2017 07:09;Miles;21.73
10.02.2017;20170210_VW102_1A55;1A55;0;VW102;20170210_VW102;UK390010;Lime St;1A55;10.02.2017 16:47;Euston;1A55;10.02.2017 19:03;Miles;193.71
10.02.2017;20170210_VW102_1B40;1B40;0;VW102;20170210_VW102;UK390010;New St.;1B40;10.02.2017 11:50;Euston;1B40;10.02.2017 13:14;Miles;112.95
10.02.2017;20170210_VW102_1B45;1B45;1;VW102;20170210_VW102;UK390010;Wolvrhptn;1B45;10.02.2017 21:45;New St.;1B45;10.02.2017 22:06;Miles;Ara.89
10.02.2017;20170210_VW102_1B45d2;1B45;2;VW102;20170210_VW102;UK390010;New St.;1B45;10.02.2017 22:10;Euston;1B45;11.02.2017 00:04;Miles;112.95
10.02.2017;20170210_VW102_1F18;1F18;0;VW102;20170210_VW102;UK390010;Euston;1F18;10.02.2017 14:07;Lime St;1F18;10.02.2017 16:20;Miles;193.71
10.02.2017;20170210_VW102_5B45;5B45;0;VW102;20170210_VW102;UK390010;Euston;5B45;11.02.2017 00:44;WembleyID;5B45;11.02.2017 01:03;Miles;7.May
10.02.2017;20170210_VW102_5R23;5R23;0;VW102;20170210_VW102;UK390010;LongstCMD;5R23;10.02.2017 05:49;ManchstrP;5R23;10.02.2017 06:00;Miles;Oca.68
10.02.2017;20170210_VW102_9G13;9G13;0;VW102;20170210_VW102;UK390010;Euston;9G13;10.02.2017 10:03;New St.;9G13;10.02.2017 11:26;Miles;112.95
